id,ip_type,title,inventor,summary,tech_type,url,contact,organization
"2774","Licensable Technology","""MoleProbe"": A real-time molecular diagnostic device","Parker, Kevin Kit","MARKETS ADDRESSED:The polymer film will enable surgical instruments to detect cancerous tissues with molecular specificity and sensitivity.  In one application, a catheter will be capable of providing point of care tumor diagnostics by oncologists.  Other clinical applications may leverage the versatile polymer films to regulate analyte concentrations in solution or provide localized delivery of drugs or analytes, while non-clinical applications may generate label-free electrochemical CMOS microarrays and proteomic chips.INNOVATIONS & ADVANTAGES:The invention is a novel engineering method for generation of freestanding 2-D and 3-D tissue structures. Biopolymers (proteins, carbohydrates, lipids, nucleic acids or combinations thereof) are deposited onto a transitional polymer surface with a patterning technique that allows for nanometer-to-millimeter-scale spatial positioning. In one example, the transitional polymer layer dissolves or switches states to release the biopolymer structure(s).  The free-standing biopolymer structure(s) is then seeded with functionally active cells that become spatially organized according to the imprinted pattern.  Alternatively, the predetermined pattern of the biopolymer scaffold is seeded with functionally active cells that become spatially organized according to the imprinted pattern. Subsequently, the transitional polymer layer dissolves or switches states to release the biopolymer structure(s) and cells together as an integrated, free-standing construct.  The predetermined pattern upon which the cells attach and the cell type used to seed the film/polymer scaffold depends upon the desired tissue type.  For example, smooth muscle cells are used for blood vessels and other internal organs, striated muscle cell for skeletal muscle tissue, and cardiac (cardiomyocytes) for heart tissue.  Alternatively, the structure is assembled in an iterative manner by which a scaffold is made, seeded with cells, and stacked with another scaffold, which in turn is seeded with cells.  This seed/stack process is repeated to construct a 3-D structure.  In some cases different cell types are seeded together or sequentially, e.g, for construction of neural tissue, glial cells are seeded and then neurons."," Tissue Engineering  |   Biomaterials","http://otd.harvard.edu/technologies/tech.php?case=2774","Mick Sawka, (617) 496-3830","Harvard University"
"10435","Licensable Technology","(NULL)","Cohen, Richard  J; Barley, Maya  Ella","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:10435","Lauren Foster","Massachusetts Institute of Technology"
"11469L","Licensable Technology","(NULL)","Willwerth, Francis  G; Duffy, Sean  M; Retherford, Larry  L; Brigham, Glenn  A; Herd, Jeffrey","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:11469L","Ben Palleiko","Massachusetts Institute of Technology"
"11638","Licensable Technology","(NULL)","Sasisekharan, Ram; Manalis, Scott; Behr, Jonathan; Chandrasekaran, Aarthi; Milovic, Nebojsa; Loh, Tzu  Liang; Godin, Michel","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:11638","Lauren Foster","Massachusetts Institute of Technology"
"12013","Licensable Technology","(NULL)","Kaertner, Franz  X; Ell, Richard","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:12013","Ben Palleiko","Massachusetts Institute of Technology"
"12076T","Licensable Technology","(NULL)","Jacobson, Joseph  M; Chow, Brian  Y; Emig, Christopher  J","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:12076T","Shawna Vogel","Massachusetts Institute of Technology"
"12026","Licensable Technology","(NULL)","Chen, Gang; Chen, Xiaoyuan","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:12026","Jose Estabil","Massachusetts Institute of Technology"
"12048","Licensable Technology","(NULL)","Darrell, Trevor  J; Grauman, Kristen  Lorraine","(NULL)"," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:12048","Jack Turner","Massachusetts Institute of Technology"
"T000678","Licensable Technology","(Ribosomal RNA-Operon Deletion Strains)  A Novel rrn Operon Altered Bacterium and Uses Thereof","Catherine L. Squires","Tufts University Categories:research tool:cell lineAdditional Keywords:genetic system, rRNA genes, antibiotic drug developmentInvention SummaryBackground: A mutational analysis of rRNA is essential for elucidating the molecular mechanism of translation, but has been hindered in prokaryotes and eukaryotes by the repetitive nature of genes.  Researchers at Tufts University have developed a simple genetic system for studying ribosomes using the extensively characterized rRNA genes of E. coli.  The system consists of an E. coli strain with all chromosomal rRNA operons inactivated and a plasmid carrying a single rRNA operon.  It has been demonstrated that homogenous mutant rRNA molecules are expressed in this strain from the plasmid-borne operon and that cellular rRNA species can be manipulated by exchanging rRNA plasmids.  The team has also succeeded in generating pure hybrid ribosome populations in vivo with E. coli ribosomal proteins and foreign rRNA molecules.Applications:This invention provides a method for identifying compounds, e.g., antibiotics or antimicrobials by selecting the compound capable of inhibiting proliferation of an antibiotic resistant rrn operon alter bacterium.  This could also be applied to multi-drug resistant rrn operon alter bacterium.Advantages:The ability of prokaryotic organisms to survive and develop single and multi-drug resistance has been observed from the earliest use of the first antimicrobial agents.  This invention provides a simple genetic system with rRNA genes that can elucidate the molecular mechanism of translation and would reveal novel and highly specific targets for antibiotic drug compounds.Licensing:The patent application is available under a non-exclusive license."," Research Reagents","http://www.tufts.biz/cgi-bin/tech_search.cgi?r=1&case=T000678","mta@tufts.edu617-636-6650mta@tufts.edu","Tufts University"
"2025","Licensable Technology","In vivo selection systems for evolving the specificity of endonucleases and inteins","Liu, David R.","MARKETS ADDRESSED:Laboratory directed evolution of enzymes with tailor-made DNA cleavage specificities can provide new tools for the site-specific manipulation of genomes for both basic research and gene therapy applications. Since homing endonucleases (HE) are highly specific in their recognition and cleavage of long DNA sequences (14-40 bp), they may be ideally suited for these purposes. However, as there are relatively few HEs available, a method for creating HEs with altered specificities would be important in broadening the potential applicability of these enzymes to gene manipulation and therapy.INNOVATIONS & ADVANTAGES:Harvard researchers have developed an efficient in vivo directed evolution system for the selection and assaying of HEs with altered DNA cleavage specificities. One embodiment of the strategy utilizes a pair of matched plasmids to link desired HE catalytic activity to the survival of the E. coli cell harboring the HE library member gene. One plasmid contains a cleavage site of interest together with a caged toxic gene, while the second plasmid encodes the candidate HE. Only cells in which the HE is successful in cleaving the target site can survive (linearization of the plasmid with the toxic gene results in its rapid degradation). The system may utilize both positive and negative selection pressures, either to favor the cleavage of a desired target sequence or to disfavor the cleavage of non-target sequences. The researchers used this system to successfully evolve mutant I-Scel HEs with altered DNA cleave specificities. This two-plasmid in vivo selection system is highly efficient, easy to use, involves simple plasmid transformation and cell plating rather than requiring protein overexpression, purification, and the performance of in vitro cleavage assays,  and should be applicable to other kinds of endonucleases and inteins. In addition, in vivo selection allows enzyme activities to be assayed in the living cell under complex conditions that in some cases may be more relevant than artificial in vitro conditions. The related patent and patent applications describe additional selection systems. Example two-plasmid selection system #1. The pBar2-sites plasmid contains nuclease cleavage sites of interest and places expression of an amber nonsense mutated barnase gene under control of the arabinose-induced and glucose-repressed pBAD promoter. The pSupE-nuclease plasmid expresses the HE enzyme together with an amber suppressor tRNA. Example two-plasmid selection system #2. pEndoSce is a low-copy plasmid that expresses I-SceI or a library of I-SceI variants under control of the araBAD promoter. pCcdB is a high-copy plasmid containing multiple copies of the desired or undesired recognition sequence distributed between two locations. This plasmid also expresses the toxic protein CcdB under control of the lac promoter. In the presence of IPTG, nucleases capable of cleaving pCcdB enable cells to survive (positive selection). pCcdB also expresses chloramphenicol acetyltransferase (Cat). In the presence of chloramphenicol and in the absence of IPTG, nucleases capable of cleaving pCcdB induce cell death (negative selection)."," Drug Discovery Tools  |   Research Tools  |   Research Reagents  |   Research Tools","http://otd.harvard.edu/technologies/tech.php?case=2025","Vivian Berlin, (617) 496-0474","Harvard University"
